Lat,Long,Temperature,Humidity,Cloudiness,Wind Speed
37.608761,-77.373306,68.54,77,90,20.8
49.88335,19.49292,68.29,49,20,5.82
36.65139,138.181107,71.01,94,4,6.96
48.833328,2.48333,70.36,33,0,9.17
51.880829,5.28889,64.71,55,90,9.17
27.98333,79.73333,87.35,66,64,7.38
-6.17028,106.530281,81.09,69,20,6.93
51.886002,-0.52099,62.62,72,75,19.46
-3.60722,-38.96833,86,55,75,19.46
10.03333,105.783333,77,100,40,3.36
-34.921452,-57.954529,55.08,76,0,13.87
44.5,0.16667,72.73,31,0,9.17
26.62368,-80.12532,85.89,84,40,9.17
-26.869129,-60.216831,74.93,47,0,5.19
17.592779,33.959171,106.07,13,100,1.23
-7.05,113.933327,73.13,87,0,8.52
41.69532,13.2564,78.12,51,40,8.05
29.23333,77.01667,85.01,72,56,5.08
11.56667,79.599998,85.37,64,91,10.18
38.243061,125.779999,69.35,98,100,4.05
33.830299,-116.545288,76.55,51,1,3.36
-22.87278,-42.34306,68.65,73,90,10.29
27.66667,-105.166672,73.13,66,2,1.81
38.283329,16.26667,81.25,78,75,3.36
51.099998,14.66667,65.89,37,0,4.7
-8.93333,36.133331,88.07,28,51,5.95
43.891392,20.34972,74.66,34,40,3.36
44.049969,8.21829,68.16,47,40,12.75
37.105999,58.509548,61.79,36,47,8.1
39.137051,-76.698303,67.37,72,90,8.05
14.38694,120.881668,82.44,79,40,6.93
49.06144,20.297979,67.55,55,20,10.29
20.1875,-75.85083,89.6,43,20,2.24
39.891579,-5.54064,80.01,31,0,5.86
-17.82935,31.05389,72.23,21,0,14.29
24.033331,74.783333,80.15,89,100,4.27
19.26667,75.75,76.19,82,100,16.04
37.150002,140.449997,75.47,94,24,3.65
40.826488,-74.106812,65.01,64,90,10.29
-7.6051,111.903503,71.33,76,0,6.89
-32.998348,-60.76791,54.68,69,99,3
-20.302851,-40.334332,67.5,94,75,8.05
9.14011,99.333107,80.6,83,20,4.7
6.99556,-9.47222,77.09,94,100,3.11
14.76778,120.54306,82.06,88,40,5.82
-12.8525,15.56056,86,33,40,5.82
55.82885,-4.21376,58.73,82,90,14.99
26.65,84.916672,87.89,66,96,8.46
40.77066,-74.232651,64.87,64,90,10.29
-22.807501,-43.413891,69.04,78,90,3.36
41.45282,-82.182373,65.55,68,40,5.82
7.60778,125.966393,75.13,94,90,2.24
19.75778,-72.20417,84.2,66,20,6.93
-34.833462,-56.167351,55.42,71,75,16.11
